agencyCode,agencyName,currentUII,investmentName,metricDescription,performanceMeasurementCategory,unitOfMeasure,reportingFrequency,agencyBaselineCapability,measurementCondition,target2022PY,target2023CY,dateOfLatestActualResult,latestActualResult,metTarget,isRetired,updatedTime
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Achieve 30% usage (filing) with Patent Center by the end of FY23 by adding 16% more usage (filing).
External customers will begin using Patent Center to file and manage their submissions increasing submissions to at least 30% of total follow-on and new submissions (Patent Center).
Q1: 16% 
Q2: 21%
Q3: 26%
Q4: 30%
","Strategic and Business Results",Percentage,Quarterly,30,"Over target",30,,2023-06-30,42,MET,false,"2023-07-31 07:48:57"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Operational Availability of Trademark systems - Trademark Content Management Services, Trademark Exam, Trademark External, Trademark International, Trademark Trial and Appeal Board (TTAB)","Strategic and Business Results",Percentage,Monthly,99,"Over target",99,,2023-08-31,99.65,MET,false,"2023-09-14 17:22:11"
006,"Department of Commerce",006-000051000,"OS OFM Commerce Business Systems (CBS)","Clean Audit Opinion obtained on Consolidated Financial Statement","Strategic and Business Results",Percent,Annual,100,"Over target",100,100,2022-11-30,100,MET,false,"2023-01-30 08:37:46"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","15% of applicants using Patent Center to file and manage submissions.  
Q1: 7.0% 
Q2: 10.0%
Q3: 12.5%
Q4: 15.0%







","Strategic and Business Results","Percentage applicants filing electronically via PC",Quarterly,13,"Over target",18,,2022-09-30,14.2,"NOT MET",false,"2022-10-20 08:51:47"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Retire and decommission EOL/EOS Windows 2003/2008 servers","Strategic and Business Results","Unit count",Annual,30,"Over target",0,,,,,false,"2022-10-06 11:16:15"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","Ideal target is to have 0 contract lapses","Strategic and Business Results","# of contract lapses",Annual,0,"Over target",0,0,2022-09-30,0,MET,false,"2022-10-04 07:37:57"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Retire EAST/WEST by having all users transition to PE2E-Search
Zero users on legacy system EAST/WEST by 9/30/2022
","Strategic and Business Results","Number of users on the legacy system EAST/WEST",Annual,0,"Under target",0,,2022-09-30,0,MET,true,"2022-10-20 08:51:45"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","Failed releases comprise <5% of total EDL releases. % of Failed releases = Aborted or Failed releases / successful releases. (Failed release must be COMPLETELY rolled back, quick 'bug fix patches' do not go into this calculation)
","Strategic and Business Results",Percentage,Quarterly,5,"Under target",5,5,2023-06-30,0,MET,false,"2023-07-27 07:43:53"
006,"Department of Commerce",006-000805600,"USPTO Trademarks Product Line","Examining Attorney adoption of TM Exam nextgen platform as a replacement of the legacy FAST1","Customer Satisfaction",Percentage,Annual,100,"Over target",100,,,,,false,"2022-10-24 10:05:48"
006,"Department of Commerce",006-000805700,"USPTO Enterprise Business Product Line","# of deployments by product group","Strategic and Business Results","# of deployments by product group",Quarterly,5,"Over target",25,30,2023-06-30,51,MET,false,"2023-07-27 07:55:49"
006,"Department of Commerce",006-000051000,"OS OFM Commerce Business Systems (CBS)","FY22 Prompt Pay Metric","Strategic and Business Results",Percent,Quarterly,98,"Over target",98,,2022-09-30,98,MET,false,"2022-11-22 09:05:44"
006,"Department of Commerce",006-000000136,"Census - Enterprise Data Lake (EDL)","Program data was disseminated on time. ","Customer Satisfaction","Percentage ",Monthly,100,"Over target",100,,,,,false,"2022-10-26 12:43:18"
024,"Department of Homeland Security",024-000005289,"CBP - Integrated Surveillance Towers (IST)","Maintain IST User Satisfaction (calculated as the average response rating (scale of 1-5, with 1 = poor and 5 = excellent)) of IST users regarding overall satisfaction with IST systems)","Customer Satisfaction",Number,Annual,,"Over target",3,,,,,false,"2022-10-26 00:45:05"
024,"Department of Homeland Security",024-000005289,"CBP - Integrated Surveillance Towers (IST)","Maintain Operational Availability for NB-RVSS (Ao% = [Command and Control center (C2) Mission Capable Hours / (C2 Mission Capable Hours plus C2 Non-mission capable hours)] X [Sensor Tower Mission Capable Hours /(Sensor Tower Mission Capable Hours plus Sensor Tower non-mission capable hours)]","Strategic and Business Results",Percentage,Monthly,,"Over target",90,,,,,false,"2022-10-26 00:45:03"
024,"Department of Homeland Security",024-000005289,"CBP - Integrated Surveillance Towers (IST)","Maintain Operational Availability for IFT (Ao% = [Command and Control center (C2) Mission Capable Hours / (C2 Mission Capable Hours plus C2 Non-mission capable hours)] X [Sensor Tower Mission Capable Hours /(Sensor Tower Mission Capable Hours plus Sensor Tower non-mission capable hours)]","Strategic and Business Results",Percentage,Monthly,,"Over target",90,,,,,false,"2022-10-26 00:45:02"
024,"Department of Homeland Security",024-000005289,"CBP - Integrated Surveillance Towers (IST)","Maintain Operational Availability for RVSS-U (Ao% = [Command and Control center (C2) Mission Capable Hours / (C2 Mission Capable Hours plus C2 Non-mission capable hours)] X [Sensor Tower Mission Capable Hours /(Sensor Tower Mission Capable Hours plus Sensor Tower non-mission capable hours)]","Strategic and Business Results",Percentage,Monthly,,"Over target",90,,,,,false,"2022-10-26 00:45:04"
024,"Department of Homeland Security",024-000005289,"CBP - Integrated Surveillance Towers (IST)","Maintain Average Operational Availability (Ao) - Measures the percentage of time all AST towers are operationally available over a given time period. [Sensor Tower Mission Capable Hours /(Sensor Tower Mission Capable Hours plus Sensor Tower non-mission capable hours)]","Strategic and Business Results",Percentage,Monthly,,"Over target",94,,,,,false,"2022-10-26 00:45:02"
024,"Department of Homeland Security",024-000005289,"CBP - Integrated Surveillance Towers (IST)","Maintain cost variance percentage to less than 10% of planned cost baseline {(Total Actual FY cost- Planned)/Total Planned FY Cost)*100} for the fleet of deployed Tower units across all AORs.","Financial Performance",Percentage,Annual,,"Under target",10,,,,,false,"2022-10-26 00:45:06"
024,"Department of Homeland Security",024-000007001,"FEMA - Integrated Public Alert & Warning System (IPAWS)","(Maintain) Time it takes to disseminate alerts and warnings to the American people upon receipt of notification (in minutes)Calculation Methodology: The difference in time it takes from when a message is received within IPAWS and when the message is acknowledged by the IPAWS feeds (500, 600, 800)","Customer Satisfaction",Minutes,Quarterly,,"Under target",10,,2023-07-12,0.074,MET,false,"2023-08-29 23:51:20"
024,"Department of Homeland Security",024-000009606,"CISA - Vulnerability Management (VM)","VM Customer Experience Survey - satisfaction with how CISA Cyber Assessments handles problems or errors","Customer Satisfaction",Percentage,Quarterly,,"Over target",91.1,,2023-05-03,94.2,MET,false,"2023-05-22 15:55:33"
024,"Department of Homeland Security",024-000005605,"TSA - Secure Flight","Increase the Percent of international air enplanements vetted against the terrorist watch list through Secure Flight. [Calculated as the total number of international air enplanements received from the airlines divided by total international air enplanements].","Strategic and Business Results",Percent,Quarterly,,"Over target",99.6,,2022-09-30,100,MET,false,"2022-10-26 00:52:15"
024,"Department of Homeland Security",024-000005605,"TSA - Secure Flight","Increase the Percent of domestic air enplanements vetted against the terrorist watch list through Secure Flight. [Calculated as the total number of domestic air emplanements received from the airlines divided by total domestic air enplanements].","Strategic and Business Results",Percent,Quarterly,,"Over target",99.6,,2022-09-30,100,MET,false,"2022-10-26 00:52:15"
024,"Department of Homeland Security",024-000005064,"CBP - Tactical Communications (TAC-COM) Modernization","Maintain TACCOM Land Mobile Radio system Operational Availability in the Rio Grand Valley Area of Operations above APB threshold value. Percent is defined as the actual time the system is operational-uptime-divided by the time it is expected to be operational-uptime downtime times 100. CBP Enterprise Networks Technology Support analyzes LMR outage data monthly to produce metric results.","Strategic and Business Results",Percent,Monthly,,"Over target",95,,2022-08-31,99.18,MET,false,"2022-10-26 00:53:52"
024,"Department of Homeland Security",024-000005064,"CBP - Tactical Communications (TAC-COM) Modernization","Maintain TACCOM Land Mobile Radio system Operational Availability in the El Paso Area of Operations above APB threshold value. Percent is defined as the actual time the system is operational-uptime-divided by the time it is expected to be operational-uptime downtime times 100. CBP Enterprise Networks Technology Support analyzes LMR outage data monthly to produce metric results.","Strategic and Business Results",Percent,Monthly,,"Over target",95,,2022-08-31,98.84,MET,false,"2022-10-26 00:53:51"
024,"Department of Homeland Security",024-000005064,"CBP - Tactical Communications (TAC-COM) Modernization","Maintain TACCOM Land Mobile Radio system Operational Availability in the Houlton Area of Operations above APB threshold value. Percent is defined as the actual time the system is operational-uptime-divided by the time it is expected to be operational-uptime downtime times 100. CBP Enterprise Networks Technology Support analyzes LMR outage data monthly to produce metric results.","Strategic and Business Results",Percent,Monthly,,"Over target",95,,,,,false,"2022-10-26 00:43:21"
024,"Department of Homeland Security",024-000005053,"CBP - Automated Commercial Environment (ACE)","Maintain percent improvement of CBP truck processing time versus ACS baseline. This metric is calculated by taking the ACS baseline of 93.7 seconds, subtracting the current average primary processing time for all ports, then dividing by 93.7 second baseline and multiplying result by 100.","Strategic and Business Results",Percent,Monthly,,"Over target",40,,2022-08-31,42.4,MET,true,"2022-10-26 00:53:17"
024,"Department of Homeland Security",024-000005246,"CBP - Border Patrol Enforcement Systems (BPES)","Maintain BPES User Satisfaction (calculated as the average response rating (scale of 1-5, with 1 = poor and 5 = excellent)) of BPES users regarding overall satisfaction with BPES systems) (unit of measure: number)","Customer Satisfaction",number,Semi-Annual,3.5,"Over target",3.6,,,,,false,"2022-10-26 00:44:08"
024,"Department of Homeland Security",024-000006104,"USCG - Core Accounting System (CAS) Suite","Positive Responses from Tier II Help Desk Trouble Tickets for CAS (Calculation: Based on % derived from positive responses compared to total responses of user surveys during the month). Goal is to maintain or increase percentage.","Customer Satisfaction",Percent,Monthly,,"Over target",90,,,,,false,"2022-10-26 00:42:17"
024,"Department of Homeland Security",024-000007120,"FEMA - Risk Mapping, Analysis and Planning IT (Risk MAP IT)","GeoIndex Data Timeliness","Strategic and Business Results",Percentage,Quarterly,,"Over target",95,,2023-06-30,100,MET,false,"2023-08-29 23:51:38"
024,"Department of Homeland Security",024-000007120,"FEMA - Risk Mapping, Analysis and Planning IT (Risk MAP IT)","Customer Satisfaction","Customer Satisfaction",Number,Semi-Annual,,"Over target",3.5,,2023-04-30,3,"NOT MET",false,"2023-08-29 23:51:37"
024,"Department of Homeland Security",024-000009606,"CISA - Vulnerability Management (VM)","PR's Actioned by the start of Q4","Financial Performance",Percentage,Annual,,"Over target",60,,,,,false,"2022-10-26 00:44:39"
024,"Department of Homeland Security",024-000006104,"USCG - Core Accounting System (CAS) Suite","System availability during 24x7 operation hours (Calculation: based on monthly system availability during 24x7 operation) Goal is to maintain percentage.","Strategic and Business Results",Percent,Monthly,,"Over target",98,,,,,false,"2022-10-26 00:42:16"
024,"Department of Homeland Security",024-000007120,"FEMA - Risk Mapping, Analysis and Planning IT (Risk MAP IT)","RAM Component Operational Availability (Ao)","Strategic and Business Results",Percentage,Monthly,,"Over target",98,,2023-07-31,100,MET,false,"2023-08-29 23:51:39"
